City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Casper,US,2021-01-13 20:58:52,42.8666,-106.3131,46.0,53,1,37.98
1,Satun,TH,2021-01-13 21:02:21,6.8333,100.0,78.8,100,75,4.38
2,Sassandra,CI,2021-01-13 21:02:21,4.95,-6.0833,77.34,87,85,7.92
3,Wageningen,NL,2021-01-13 21:02:21,51.9667,5.6667,41.0,100,90,5.75
4,Mataura,NZ,2021-01-13 21:02:21,-46.1927,168.8643,59.0,94,0,10.0
5,La Crosse,US,2021-01-13 21:02:21,43.8014,-91.2396,39.2,70,40,3.44
6,Hermanus,ZA,2021-01-13 21:02:21,-34.4187,19.2345,71.01,81,30,11.01
7,Zhigansk,RU,2021-01-13 21:02:21,66.7697,123.3711,-41.49,80,100,12.3
8,Baker City,US,2021-01-13 21:02:21,44.7749,-117.8344,46.4,46,1,14.97
9,Nishihara,JP,2021-01-13 21:02:21,26.1842,127.7558,59.0,50,75,5.75
10,Seydi,TM,2021-01-13 21:02:21,39.4816,62.9137,37.38,75,0,10.07
11,Melita,CA,2021-01-13 21:00:07,49.2681,-100.9967,34.0,89,100,10.0
12,Acapulco,MX,2021-01-13 21:02:00,16.8634,-99.8901,86.0,62,90,6.91
13,Busselton,AU,2021-01-13 21:02:22,-33.65,115.3333,55.99,72,100,1.01
14,New Norfolk,AU,2021-01-13 21:02:22,-42.7826,147.0587,60.01,63,5,1.99
15,Busca,IT,2021-01-13 21:02:22,44.5181,7.4743,39.0,93,0,3.44
16,Longyearbyen,SJ,2021-01-13 20:59:04,78.2186,15.6401,15.8,73,75,11.5
17,Punta Arenas,CL,2021-01-13 21:02:22,-53.15,-70.9167,57.2,54,90,24.16
18,Bethel,US,2021-01-13 21:02:22,41.3712,-73.414,37.4,60,90,3.96
19,Ambon,ID,2021-01-13 21:02:23,-3.6954,128.1814,77.0,88,20,8.05
20,Mareeba,AU,2021-01-13 21:02:23,-17.0,145.4333,77.0,94,40,10.36
21,Ilulissat,GL,2021-01-13 21:02:23,69.2167,-51.1,24.8,86,75,12.66
22,Ayagoz,KZ,2021-01-13 21:02:23,47.9714,80.4392,-10.32,88,100,8.03
23,Saint-Philippe,RE,2021-01-13 20:59:04,-21.3585,55.7679,80.6,83,75,3.44
